Id,Name,PersonId,LastName,FirstName,Department,RankName,TotalArticleCount,TotalConfProcCount,TotalGrantCount,TotalGrantDollars,TotalAwardCount,TotalCitationCount,TotalBookCount
14685,"COLLINS, JAMES J",632090,,,Biological Engineering,Professor,274,3,21,0.0,22,35957,0
4105,"DEDON, PETER C",25472,,,Biological Engineering,Professor,159,0,34,0.0,1,5854,2
2430,"ENGELWARD, BEVIN P",141156,,,Biological Engineering,Professor,76,4,19,0.0,0,1957,1
7960,"ERDMAN, SUSAN E",287657,,,Biological Engineering,Other,63,0,14,0.0,0,2831,2
4070,"ESSIGMANN, JOHN M",34955,,,Biological Engineering,Professor,73,1,40,0.0,1,2729,0
4060,"FOX, JAMES G",142572,,,Biological Engineering,Professor,428,0,65,0.0,3,14515,44
2275,"FRAENKEL, ERNEST",176239,,,Biological Engineering,Professor,91,8,12,0.0,2,7528,5
1845,"GRIFFITH, LINDA G",144921,,,Biological Engineering,Professor,170,11,28,0.0,9,9085,3
1855,"GRODZINSKY, ALAN J",144993,,,Biological Engineering,Professor,203,3,25,0.0,3,7350,17
3360,"HAN, JONGYOON",50517,,,Biological Engineering,Professor,269,10,16,0.0,1,13795,4
3525,"IRVINE, DARRELL J",60069,,,Biological Engineering,Professor,221,7,41,0.0,12,13568,2
1865,"JASANOFF, ALAN PRADIP",61378,,,Biological Engineering,Professor,59,0,20,0.0,2,2327,3
5805,"KEATING, AMY E",150013,,,Biological Engineering,Professor,72,0,12,0.0,1,2929,3
14595,"KOEHLER, ANGELA NICOLE",779088,,,Biological Engineering,Associate,50,0,4,0.0,3,2393,3
1830,"LANGER, ROBERT S",83112,,,Biological Engineering,Professor,975,26,92,0.0,72,107826,62
2245,"LAUFFENBURGER, DOUGLAS A",58851,,,Biological Engineering,Professor,349,19,75,0.0,10,16322,8
1970,"LODISH, HARVEY F",62796,,,Biological Engineering,Professor,186,1,0,0.0,9,15342,15
5590,"LU, TIMOTHY K",412262,,,Biological Engineering,Associate,131,9,31,0.0,10,7114,3
2220,"MANALIS, SCOTT R",176243,,,Biological Engineering,Professor,81,12,24,0.0,3,4893,1
4930,"NILES, JACQUIN",85013,,,Biological Engineering,Professor,39,1,6,0.0,3,1333,0
3350,"SAMSON, LEONA D",82231,,,Biological Engineering,Other,110,0,24,0.0,7,5086,3
5945,"SASISEKHARAN, RAM",176254,,,Biological Engineering,Professor,114,0,29,0.0,5,7584,12
1835,"SO, PETER T. C",14958,,,Biological Engineering,Professor,194,82,12,0.0,2,5105,26
4425,"THILLY, WILLIAM G",126070,,,Biological Engineering,Professor,34,0,18,0.0,0,641,0
1905,"TIDOR, BRUCE",169050,,,Biological Engineering,Professor,79,4,28,0.0,2,7878,2
1605,"VAN VLIET, KRYSTYN J",127288,,,Biological Engineering,Professor,176,6,10,0.0,6,7180,4
2270,"VOIGT, CHRISTOPHER A",488068,,,Biological Engineering,Professor,232,1,36,0.0,7,10023,4
2265,"WEISS, RON",370154,,,Biological Engineering,Professor,130,23,39,0.0,4,12102,0
5055,"WHITE, FOREST M",129009,,,Biological Engineering,Professor,117,2,22,0.0,0,6163,6
1895,"WITTRUP, KARL DANE",115935,,,Biological Engineering,Professor,154,2,29,0.0,4,6672,2
5060,"YAFFE, MICHAEL B",99938,,,Biological Engineering,Professor,249,5,25,0.0,1,15202,13
3185,"AMON, ANGELIKA B",131275,,,Biology,Professor,127,3,12,0.0,15,11246,2
1940,"BAKER, TANIA",6476,,,Biology,Professor,125,1,8,0.0,6,5864,4
2015,"BARTEL, DAVID",6522,,,Biology,Professor,130,1,0,0.0,10,94190,0
1935,"BELL, STEPHEN P",176229,,,Biology,Professor,75,0,14,0.0,6,4339,4
8370,"CHEESEMAN, IAIN M",175855,,,Biology,Professor,83,0,0,0.0,6,6893,3
5065,"CHEN, JIANZHU",176227,,,Biology,Professor,227,2,21,0.0,2,7863,2
3830,"CHISHOLM, SALLIE W",20948,,,Biology,Professor,97,0,20,0.0,14,10560,5
4920,"DRENNAN, CATHERINE L",175862,,,Biology,Professor,157,3,8,0.0,12,4591,4
1995,"FINK, GERALD R",142051,,,Biology,Other,82,1,0,0.0,11,8853,9
9605,"GEHRING, MARY",412245,,,Biology,Associate,36,0,0,0.0,3,3015,1
2780,"GERTLER, FRANK",38616,,,Biology,Professor,134,4,8,0.0,3,7622,3
7780,"GROSSMAN, ALAN DAVIS",176390,,,Biology,Professor,68,0,18,0.0,5,3882,2
5445,"GUARENTE, LEONARD PERSHING",48651,,,Biology,Professor,148,2,16,0.0,4,25897,8
3085,"GUPTA, PIYUSH",412246,,,Biology,Associate,72,1,0,0.0,2,10820,29
2010,"HEMANN, MICHAEL",46757,,,Biology,Associate,130,3,5,0.0,2,8081,2
1960,"HORVITZ, HOWARD ROBERT",48052,,,Biology,Professor,92,0,9,0.0,16,13548,2
5305,"HOUSMAN, DAVID E",48264,,,Biology,Professor,85,0,23,0.0,5,5162,5
